id,title,identifier,identifier2
13944,The Amazing Money Machine,pragmaticexternal:TheAmazingMoneyMachine1,vs10amm
14001,Cash Elevator,pragmaticexternal:CashElevator1,vs20terrorv
14064,The Magic Cauldron - Enchanted Brew,pragmaticexternal:TheMagicCauldronEnchantedBrew1,vs20magicpot
14110,Panda Fortune 2,pragmaticexternal:PandaFortune21,vs25pandatemple
14410,Dragon Hot Hold and Spin,pragmaticexternal:DragonHotHoldandSpin1,vs5drhs
14412,Heart Of Rio,pragmaticexternal:HeartofRio1,vs25rio
15456,Lucky Lightning,pragmaticexternal:LuckyLightning1,vswayslight
15502,5 Lions Megaways,pragmaticexternal:5LionsMegaways1,vswayslions
15546,Empty the Bank,pragmaticexternal:EmptytheBank1,vs20emptybank
15872,Book of Vikings,pragmaticexternal:BookofVikings,vs10bookviking
15873,Chicken Drop,pragmaticexternal:ChickenDrop,vs20chickdrop
15874,Lucky Grace and Charm,pragmaticexternal:LuckyGraceandCharm,vs10luckcharm
16119,Fruit Party 2,pragmaticexternal:FruitParty2,vs20fparty2
16120,Rise of Giza PowerNudge,pragmaticexternal:RiseofGizaPowerNudge,vs10nudgeit
16233,Chilli Heat Megaways,pragmaticexternal:ChilliHeatMegaways,vswayschilheat
16302,Yum Yum Powerways,pragmaticexternal:YumYumPowerways,vswaysyumyum
16448,Bigger Bass Bonanza,pragmaticexternal:BiggerBassBonanza,vs12bbb
16465,Starlight Princess,pragmaticexternal:StarlightPrincess,vs20starlight
16509,Treasure Wild,pragmaticexternal:TreasureWild,vs20trsbox
16558,Piggy Bank Bills,pragmaticexternal:PiggyBankBills,vs9piggybank
16588,Cash Bonanza,pragmaticexternal:CashBonanza,vswaysbankbonz
16619,Day of Dead,pragmaticexternal:DayofDead,vs20daydead
16620,Mystic Chief,pragmaticexternal:MysticChief,vswayswest
16673,Star Pirates Code,pragmaticexternal:StarPiratesCode,vs10starpirate
16680,John Hunter and the Quest for Bermuda Riches,pragmaticexternal:JohnHunterandtheQuestforBermudaRiches,vs20bermuda
16810,Big Juan,pragmaticexternal:BigJuan,vs40bigjuan
16816,Bounty Gold,pragmaticexternal:BountyGold,vs25btygold
16870,Big Bass Bonanza Megaways,pragmaticexternal:BigBassBonanzaMegaways,vswaysbbb
17461,Barn Festival,pragmaticexternal:BarnFestival,vs20farmfest
17477,Book of the Fallen,pragmaticexternal:BookofFallen,vs10bookfallen
17478,Christmas Big Bass Bonanza,pragmaticexternal:ChristmasBassBananza,vs10bxmasbnza
17479,Colossal Cash Zone,pragmaticexternal:ColossalCashZone,vs20colcashzone
17480,Crystal Caverns Megaways,pragmaticexternal:CrystalCavernsMegaways,vswayscryscav
17481,Drill That Gold,pragmaticexternal:DrillThatGold,vs20drtgold
17482,Elemental Gems Megaways,pragmaticexternal:ElementalGemsMegaways,vswayselements
17483,Extra Juicy Megaways,pragmaticexternal:ExtraJuicyMegaways,vswaysxjuicy
17484,Gates of Valhalla,pragmaticexternal:GatesofValhalla,vs10runes
17485,Gold Party,pragmaticexternal:GoldParty,vs25goldparty
17486,Magician's Secrets,pragmaticexternal:MagiciansSecrets,vs4096magician
17487,Might of Ra,pragmaticexternal:MightofRa,vs50mightra
17488,Queenie,pragmaticexternal:Queenie,vs243queenie
17489,Rainbow Gold,pragmaticexternal:RainbowGold,vs20rainbowg
17490,Rock Vegas,pragmaticexternal:RockVegas,vs20rockvegas
17492,Santa's Wonderland,pragmaticexternal:SantasWonderland,vs20santawonder
17493,Smugglers Cove,pragmaticexternal:SmugglersCove,vs20smugcove
17494,Snakes and Ladders Megadice,pragmaticexternal:SnakesandLaddersMegadice,vs10snakeladd
17495,Spaceman,pragmaticexternal:Spaceman,1301
17503,Super X,pragmaticexternal:SuperX,vs20superx
17504,The Ultimate 5,pragmaticexternal:TheUltimate5,vs20ultim5
17505,Tic Tac Take,pragmaticexternal:TicTacTake,vs10tictac
17511,Wild Beach Party,pragmaticexternal:WildBeachParty,vs20bchprty
17512,Wild Depth,pragmaticexternal:WildDepth,vs40wanderw
18269,Chicken Chase,pragmaticexternal:ChickenChase,vs10chkchase
18317,Clover Gold,pragmaticexternal:CloverGold,vs20mustanggld2
18318,Eye of Cleopatra,pragmaticexternal:EyeofCleopatra,vs40cleoeye
18347,Spirit of Adventure,pragmaticexternal:SpiritofAdventure,vs10spiritadv
18357,North Guardians,pragmaticexternal:NorthGuardians,vs50northgard
18557,Fire Strike 2,pragmaticexternal:FireStrike2,vs10firestrike2
18684,Goblin Heist Powernudge,pragmaticexternal:GoblinHeistPowernudge,vs20gobnudge
18785,The Great Stick-Up,pragmaticexternal:TheGreatStickUp,vs20stickysymbol
18817,Little Gem,pragmaticexternal:LittleGem,vs5littlegem
18846,Cleocatra,pragmaticexternal:Cleocatra,vs20cleocatra
18861,Wild West Gold Megaways,pragmaticexternal:WildWestGoldMegaways,vswayswildwest
18872,Zombie Carnival,pragmaticexternal:ZombieCarnival,vswayszombcarn
18914,Fortune of Giza,pragmaticexternal:FortuneofGiza,vs20amuleteg
18971,Big Bass Splash,pragmaticexternal:BigBassSplash,vs10txbigbass
18972,Cash Patrol,pragmaticexternal:CashPatrol,vs25copsrobbers
18973,Queen of Gods,pragmaticexternal:QueenofGods,vs10egrich
19043,Sugar Rush,pragmaticexternal:SugarRush1,vs20sugarrush
19096,Bomb Bonanza,pragmaticexternal:BombBonanza,vs25bomb
19153,Cosmic Cash,pragmaticexternal:CosmicCash,vs40cosmiccash
19160,Tropical Tiki,pragmaticexternal:TropicalTiki,vswaysjkrdrop
19187,Shining Hot 100,pragmaticexternal:ShiningHot100,vs100sh
19188,Shining Hot 20,pragmaticexternal:ShiningHot20,vs20sh
19189,Shining Hot 40,pragmaticexternal:ShiningHot40,vs40sh
19190,Shining Hot 5,pragmaticexternal:ShiningHot5,vs5sh
19255,Magic Money Maze,pragmaticexternal:MagicMoneyMaze,vs10mmm
19289,Gorilla Mayhem,pragmaticexternal:GorillaMayhem,vs1024gmayhem
19339,Greedy Wolf,pragmaticexternal:GreedyWolf,vs20wolfie
19416,Black Bull,pragmaticexternal:BlackBull,vs20trswild2
19470,Hot to Burn Extreme,pragmaticexternal:HottoBurnExtreme,vs40hotburnx
19520,Octobeer Fortunes,pragmaticexternal:OctobeerFortunes,vs20octobeer
19521,Down the Rails,pragmaticexternal:DowntheRails,vs20underground
19526,Striking Hot 5,pragmaticexternal:StrikingHot5,vs5strh
19542,Fire Hot 100,pragmaticexternal:FireHot100,vs100firehot
19543,Fire Hot 20,pragmaticexternal:FireHot20,vs20fh
19544,Fire Hot 40,pragmaticexternal:FireHot40,vs40firehot
19545,Fire Hot 5,pragmaticexternal:FireHot5,vs5firehot
19597,Happy Hooves,pragmaticexternal:HappyHooves,vs40mstrwild
19644,Book of Golden Sands,pragmaticexternal:BookofGoldenSands,vswaysbook
19679,Crown of Fire,pragmaticexternal:CrownofFire,vs10crownfire
19680,Wild Hop & Drop,pragmaticexternal:WildHopDrop,vs20mparty
19741,Floating Dragon Megaways,pragmaticexternal:FloatingDragonMegaways,vswaysfltdrg
19763,Aztec Blaze,pragmaticexternal:AztecBlaze,vs25kfruit
19795,John Hunter and the Book of Tut Respin,pragmaticexternal:JohnHunterandtheBookofTutRespin,vs10tut
19796,Pirate Golden Age,pragmaticexternal:PirateGoldenAge,vs20mtreasure
19843,Firebird Spirit,pragmaticexternal:FirebirdSpirit,vswaysconcoll
19844,Muertos Multiplier Megaways,pragmaticexternal:MuertosMultiplierMegaways,vs20muertos
19902,Candy Stars,pragmaticexternal:CandyStars,vswaysstrwild
19926,Sword of Ares,pragmaticexternal:SwordofAres,vs20swordofares
19995,Big Bass - Keeping it Reel,pragmaticexternal:BigBassKeepingitReel,vs10bbkir
20088,Release the Kraken 2,pragmaticexternal:ReleasetheKraken2,vs20kraken2
20150,American Blackjack,pragmaticexternal:AmericanBlackjack,bjmb
20151,Dragon Tiger,pragmaticexternal:DragonTiger,bndt
20159,Spin & Score Megaways,pragmaticexternal:SpinandScoreMegaways,vswaysfrywld
20160,Towering Fortunes,pragmaticexternal:ToweringFortunes,vs20theights
20215,Shield of Sparta,pragmaticexternal:ShieldofSparta,vs20sparta
20244,Gems of Serengeti,pragmaticexternal:GemsofSerengeti,vs20lcount
20285,Snakes & Ladders 2 - Snake Eyes,pragmaticexternal:SnakesandLadders2SnakeEyes,vs10snakeeyes
20332,Santa's Great Gifts,pragmaticexternal:SantasGreatGifts,vs20porbs
20358,Fury of Odin Megaways,pragmaticexternal:FuryofOdinMegaways,vswaysfuryodin
20381,Bigger Bass Blizzard - Christmas Catch,pragmaticexternal:BiggerBassBlizzardChristmasCatch,vs12bbbxmas
20419,Reel Banks,pragmaticexternal:ReelBanks,vs25rlbank
20465,Hot Pepper,pragmaticexternal:HotPepper,vs20dugems
20708,PIZZA! PIZZA? PIZZA!,pragmaticexternal:PIZZAPIZZAPIZZA,vswayspizza
20709,Sweet Powernudge,pragmaticexternal:SweetPowernudge,vs20clspwrndg
20883,Starlight Christmas,pragmaticexternal:StarlightChristmas,vs20schristmas
21112,Dragon Hero,pragmaticexternal:DragonHero,vs20drgbless
21142,Pinup Girls,pragmaticexternal:PinupGirls,vs20ltng
21143,Wild Wild Bananas,pragmaticexternal:WildWildBananas,vswayswwhex
21214,Mammoth Gold Megaways,pragmaticexternal:MammothGoldMegaways,vs20mammoth
21215,Secret City Gold,pragmaticexternal:SecretCityGold,vs25spgldways
21263,Fish Eye,pragmaticexternal:FishEye,vs10fisheye
