id,title,identifier,identifier2
12546,Totem Towers,habanero:SGTotemTowers,SGTotemTowers
12773,Orbs Of Atlantis,habanero:SGOrbsOfAtlantis,SGOrbsOfAtlantis
13161,Before Time Runs Out,habanero:SGBeforeTimeRunsOut,SGBeforeTimeRunsOut
13831,Return to the Feature,habanero:SGReturnToTheFeature,SGReturnToTheFeature
14052,Candy Tower,habanero:SGCandyTower,SGCandyTower
15543,Marvelous Furlongs,habanero:SGMarvelousFurlongs,SGMarvelousFurlongs
16118,Calaveras Explosivas,habanero:SGCalaverasExplosivas,SGCalaverasExplosivas
16334,Mystic Fortune Deluxe,habanero:SGMysticFortuneDeluxe,SGMysticFortuneDeluxe
16499,Fly!,habanero:SGFly,SGFly
16671,Nine Tails,habanero:SGNineTails,SGNineTails
17354,Disco Beats,habanero:SGDiscoBeats,SGDiscoBeats
17355,Lantern Luck,habanero:SGLanternLuck,SGLanternLuck
17356,Lucky Durian,habanero:SGLuckyDurian,SGLuckyDurian
17357,New Year's Bash,habanero:SGNewYearsBash,SGNewYearsBash
17358,Prost,habanero:SGProst,SGProst
18346,Mighty Medusa,habanero:SGMightyMedusa,SGMightyMedusa
18867,Bomb Runner,habanero:SGBombRunner,SGBombRunner
19059,Golden Unicorn Deluxe,habanero:SGGoldenUnicornDeluxe,SGGoldenUnicornDeluxe
19281,Space Goonz,habanero:SGSpaceGoonz,SGSpaceGoonz
19552,Laughing Buddha,habanero:SGLaughingBuddha,SGLaughingBuddha
19755,Taiko Beats,habanero:SGTaikoBeats,SGTaikoBeats
19993,Tuk Tuk Thailand,habanero:SGTukTukThailand,SGTukTukThailand
20281,Soju Bomb,habanero:SGSojuBomb,SGSojuBomb
21211,Dragon Tiger Gate,habanero:SGDragonTigerGate,SGDragonTigerGate
22113,Rainbow Mania,habanero:SGRainbowmania,SGRainbowmania
22444,Legendary Beasts,habanero:SGLegendaryBeasts,SGLegendaryBeasts
22820,Naughty Wukong,habanero:SGNaughtyWukong,SGNaughtyWukong
26208,The Big Deal Deluxe,habanero:SGTheBigDealDeluxe,""
